# hp_idx count g_sky r_sky z_sky ra dec
153 nan nan nan nan 95.0 83.41768908593822
154 nan nan nan nan 105.00000000000001 83.41768908593822
155 nan nan nan nan 115.0 83.41768908593822
156 nan nan nan nan 125.00000000000001 83.41768908593822
157 nan nan nan nan 135.0 83.41768908593822
158 nan nan nan nan 145.0 83.41768908593822
159 nan nan nan nan 155.0 83.41768908593822
160 nan nan nan nan 165.00000000000003 83.41768908593822
161 nan nan nan nan 175.0 83.41768908593822
162 nan nan nan nan 185.0 83.41768908593822
163 nan nan nan nan 194.99999999999997 83.41768908593822
164 nan nan nan nan 204.99999999999997 83.41768908593822
165 nan nan nan nan 214.99999999999997 83.41768908593822
166 nan nan nan nan 225.0 83.41768908593822
167 nan nan nan nan 235.00000000000003 83.41768908593822
168 nan nan nan nan 244.99999999999997 83.41768908593822
169 nan nan nan nan 255.00000000000003 83.41768908593822
170 nan nan nan nan 265.0 83.41768908593822
171 nan nan nan nan 275.0 83.41768908593822
172 nan nan nan nan 285.0 83.41768908593822
173 nan nan nan nan 294.99999999999994 83.41768908593822
174 nan nan nan nan 305.0 83.41768908593822
175 nan nan nan nan 315.0 83.41768908593822
176 nan nan nan nan 325.0 83.41768908593822
177 nan nan nan nan 335.0 83.41768908593822
178 nan nan nan nan 345.0 83.41768908593822
179 nan nan nan nan 355.0 83.41768908593822
180 nan nan nan nan 4.5 82.6853762107639
181 nan nan nan nan 13.5 82.6853762107639
182 nan nan nan nan 22.5 82.6853762107639
183 nan nan nan nan 31.5 82.6853762107639
184 nan nan nan nan 40.5 82.6853762107639
185 nan nan nan nan 49.49999999999999 82.6853762107639
186 nan nan nan nan 58.5 82.6853762107639
187 nan nan nan nan 67.5 82.6853762107639
188 nan nan nan nan 76.5 82.6853762107639
189 nan nan nan nan 85.5 82.6853762107639
190 nan nan nan nan 94.5 82.6853762107639
191 nan nan nan nan 103.5 82.6853762107639
192 nan nan nan nan 112.5 82.6853762107639
193 nan nan nan nan 121.5 82.6853762107639
194 nan nan nan nan 130.5 82.6853762107639
195 nan nan nan nan 139.5 82.6853762107639
196 nan nan nan nan 148.5 82.6853762107639
197 nan nan nan nan 157.5 82.6853762107639
198 nan nan nan nan 166.5 82.6853762107639
199 nan nan nan nan 175.5 82.6853762107639
200 nan nan nan nan 184.49999999999997 82.6853762107639
201 nan nan nan nan 193.5 82.6853762107639
202 nan nan nan nan 202.5 82.6853762107639
203 nan nan nan nan 211.50000000000003 82.6853762107639
204 nan nan nan nan 220.49999999999997 82.6853762107639
205 nan nan nan nan 229.49999999999997 82.6853762107639
206 nan nan nan nan 238.50000000000003 82.6853762107639
207 nan nan nan nan 247.50000000000003 82.6853762107639
208 nan nan nan nan 256.5 82.6853762107639
209 nan nan nan nan 265.5 82.6853762107639
210 nan nan nan nan 274.5 82.6853762107639
211 nan nan nan nan 283.5 82.6853762107639
212 nan nan nan nan 292.5 82.6853762107639
213 nan nan nan nan 301.5 82.6853762107639
